year,CA.TWL_n_trips,CA.TWL_n_fish,CA.HKL_n_trips,CA.HKL_n_fish,ORWA.TWL_n_trips,ORWA.TWL_n_fish,ORWA.HKL_n_trips,ORWA.HKL_n_fish
1978,2,15,0,0,NA,NA,NA,NA
1979,2,5,13,55,NA,NA,NA,NA
1980,8,11,10,24,0,0,2,4
1981,2,3,15,59,0,0,0,0
1982,6,8,4,10,0,0,0,0
1983,17,22,3,21,0,0,0,0
1984,16,18,3,12,0,0,0,0
1985,12,12,8,15,0,0,0,0
1986,11,14,9,9,0,0,0,0
1987,16,22,2,4,0,0,0,0
1988,10,14,4,7,0,0,0,0
1989,6,8,14,43,0,0,0,0
1990,6,10,9,18,0,0,0,0
1991,10,15,17,209,0,0,0,0
1992,9,13,66,480,0,0,0,0
1993,18,30,79,680,0,0,0,0
1994,7,12,75,724,0,0,0,0
1995,4,13,33,365,2,40,7,58
1996,13,63,67,463,25,312,6,115
1997,8,15,45,275,24,295,3,78
1998,7,9,11,53,15,124,1,34
1999,10,20,48,488,10,104,9,107
2000,5,7,9,19,4,17,50,485
2001,6,9,19,123,3,24,75,792
2002,2,2,2,2,24,50,2,91
2003,1,1,0,0,3,34,4,14
2004,2,7,0,0,11,24,3,24
2005,0,0,0,0,1,4,0,0
2006,0,0,0,0,9,37,4,37
2007,0,0,0,0,0,0,4,16
2008,0,0,0,0,3,5,1,12
2009,0,0,0,0,7,20,3,15
2010,0,0,0,0,2,3,2,26
2011,0,0,0,0,10,20,2,2
2012,1,1,0,0,11,36,4,8
2013,2,3,0,0,14,26,1,4
2014,1,1,0,0,10,11,1,1
2015,1,1,0,0,15,19,2,26
2016,0,0,0,0,10,20,0,0
