Year,Numbers of Fish,MT
1990,3548,9.107462933
1991,6459,16.5797923
1992,5829,14.96262724
1993,5918,15.19108389
1994,3418,8.773762205
1995,3343,8.581242555
1996,3601,9.243510153
1997,3679,9.443730589
1998,4741,12.16980884
1999,3532,10.05523414
2000,3826,11.211235
2001,4116,10.677921
2002,55,0.1529715
2003,136,0.38302
2004,80,0.2523922
2005,1306,4.140194204
2006,493,1.551295417
2007,731,2.297170716
2008,623,1.963809829
2009,636,1.936648988
2010,788,2.42144957
2011,886,2.737709763
2012,1279,3.96843226
2013,809,2.449397597
2014,1089,3.279373724
2015,996,2.817608275
2016,1167,3.278317777
2017,1184,3.200344167
2018,1219,3.226181754
2019,2009,3.79488338
2020,1066,1.843707883
2021,1209,2.556051497
2022,1261,3.217001346
2023,1368,3.374195759
2024,1386,3.131204839
