Year,Month,Fleet,Sex,Nsamps,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74
1986,7,1,0,16.61,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,3,3,1,0,4,1,11,4,5,6,2,3,0
1989,7,1,0,16.96,0,0,0,0,1,1,2,1,0,3,1,1,3,0,1,0,3,4,3,4,1,2,2,1,4,5,6,5,0,2,0,0,0
1992,7,1,0,3.71,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0
1995,7,1,0,5.42,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1998,7,1,0,10.85,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0
2001,7,1,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,1,6,2,0,2,0,2,3,0,1,1,0,0,0,0
2004,7,1,0,8.99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,2,0,1,0,1,0,0,0,0,0
1986,7,2,0,31,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,3,3,1,0,4,1,11,4,5,6,2,3,0
1989,7,2,0,41,0,0,0,0,1,1,4,2,0,3,3,1,3,0,1,1,4,5,3,4,1,2,2,2,4,5,6,5,1,2,0,0,0
1992,7,2,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0
1995,7,2,0,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1998,7,2,0,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0
2001,7,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,1,6,2,0,2,0,2,3,0,1,1,0,0,0,0
2004,7,2,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0,5,1,2,0,1,0,1,0,0,0,0,0
