"","R0 5.25","R0 5","R0 4.75","R0 4.5","R0 4.25","R0 4","R0 3.75","R0 3.5","R0 5.5","R0 5.75","R0 6","R0 6.25","R0 6.5","R0 6.75","R0 7","R0 7.25"
"totlikelihood",1011050,1010560,1010550,7365.5,7331.33,7305.42,7272.02,7255.01,7255.2,7271.4,7300.47,7334.51,7362.15,7379.62,7391.16,7399.14
"surveylike",-9.42606,-6.38527,-6.78742,-2.92807,-1.60555,-0.498747,0.72828,1.86288,2.73635,3.12727,2.50502,0.564232,-0.86422,-1.01869,-0.757009,-0.48637
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",2551.06,2386.37,2390.88,1380.49,1378.3,1379.6,1376.06,1373.69,1372.72,1374.53,1382.6,1402.6,1430.49,1448.43,1458.27,1464.72
"agelike",6470.39,6114.24,6117.83,5858.51,5859.42,5863.37,5862.99,5862.86,5862.91,5862.68,5861.44,5858.8,5856.72,5855.81,5855.58,5855.51
"recrlike",25.082,60.5928,39.0191,127.743,93.7903,61.7813,31.3326,15.9709,16.4661,30.9154,53.9155,72.4816,75.5808,76.0184,77.5437,78.782
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25
"SB0",88.2973,218.461,282.248,358.073,459.273,589.339,755.114,966.619,1237.35,1584.71,2032.93,2617.76,3382.65,4360.81,5611.49,7214.56
"SBfinal",0.0160648,30.8028,37.422,85.0007,122.203,166.962,231.785,321.423,446.84,631.344,933.533,1481.9,2389.17,3585.32,5059.32,6914.09
"deplfinal",0.00018194,0.140999,0.132586,0.237384,0.266079,0.283305,0.306954,0.332523,0.361126,0.398396,0.459206,0.566095,0.7063,0.822168,0.9016,0.958352
"yieldspr",10.4847,18.3683,23.7412,33.8677,43.5112,55.8456,71.6818,91.9657,118.008,151.554,195.013,251.746,324.383,415.27,530.07,676.379
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",14.517,0.01,0.01,0.93267,0.864096,0.866746,0.888683,0.8963,0.885188,0.846897,0.785511,0.742885,0.714545,0.723292,0.763505,0.785452
"lmaxfem",52.3802,64.0728,64.1869,61.9924,61.9634,61.9568,61.9244,61.8659,61.7967,61.7204,61.651,61.6352,61.6948,61.7433,61.778,61.7976
"kfem",0.0237324,0.0643986,0.0642822,0.0758236,0.0759722,0.0759864,0.0759805,0.076065,0.0762285,0.0765008,0.0768878,0.0772435,0.0774193,0.0774457,0.0773765,0.0773448
"cv1fem",0.0518095,0.0830935,0.0821915,0.151266,0.150696,0.151636,0.151214,0.150564,0.149701,0.148492,0.146758,0.14464,0.143394,0.143163,0.143104,0.143082
"cv2fem",0.472625,0.0817589,0.0816596,0.0617682,0.0618217,0.0612175,0.06139,0.0617139,0.0621446,0.0627293,0.0635185,0.0644185,0.0649957,0.0651504,0.0651908,0.0652052
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
