"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",7964.59,7937.16,7916.31,7900.84,7889.67,7881.73,7876.13,7872.19,7869.42,7867.48,7866.11,7865.15,7864.48,7864.02,7863.72,7863.53
"surveylike",-30.3086,-37.9547,-42.4057,-45.8873,-48.5441,-50.5132,-51.9672,-53.0449,-53.8562,-54.4749,-54.9539,-55.3316,-55.6347,-55.8819,-56.0869,-56.2592
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1425.17,1419.66,1413.5,1407.48,1402.25,1397.97,1394.62,1392.04,1390.09,1388.61,1387.49,1386.63,1385.97,1385.46,1385.06,1384.76
"agelike",6506.21,6504.88,6505.05,6506.61,6508.85,6511.15,6513.22,6514.97,6516.38,6517.49,6518.36,6519.03,6519.55,6519.96,6520.27,6520.51
"recrlike",62.1479,49.4973,39.277,31.8896,26.496,22.6029,19.8191,17.8631,16.502,15.582,14.9844,14.6191,14.419,14.3363,14.3362,14.3941
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.47111,5.49072,5.50087,5.50392,5.50328,5.50071,5.49745,5.49419,5.49131,5.48893,5.48707,5.48569,5.48471,5.48407,5.4837,5.48355
"SB0",1170.95,1194.33,1206.51,1210.12,1209.17,1205.85,1201.68,1197.56,1193.92,1190.91,1188.56,1186.8,1185.54,1184.7,1184.2,1183.96
"SBfinal",73.7903,116.905,155.283,197.917,243.528,290.034,336.103,380.597,422.791,462.191,498.599,532.033,562.638,590.617,616.199,639.612
"deplfinal",0.0630173,0.0978836,0.128705,0.163552,0.2014,0.240523,0.279693,0.31781,0.354121,0.388099,0.419499,0.448293,0.474584,0.498537,0.520352,0.54023
"yieldspr",1.23715e-12,7.81744e-12,17.5621,52.9565,74.2226,88.2638,98.1492,105.459,111.084,115.558,119.215,122.272,124.877,127.13,129.103,130.851
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.59307,1.51335,1.4548,1.42948,1.4333,1.45139,1.47394,1.49774,1.51896,1.53763,1.554,1.56833,1.58061,1.59112,1.60013,1.60783
"lmaxfem",61.2516,61.2533,61.2616,61.2773,61.2961,61.3145,61.3308,61.3444,61.3552,61.3636,61.3702,61.3753,61.3793,61.3824,61.3848,61.3867
"kfem",0.0766895,0.076762,0.0767602,0.076678,0.0765435,0.0763952,0.0762566,0.0761341,0.0760342,0.0759532,0.0758877,0.0758345,0.0757919,0.0757576,0.07573,0.0757078
"cv1fem",0.14537,0.145334,0.145469,0.145898,0.146386,0.146825,0.147188,0.147477,0.147699,0.147866,0.14799,0.148082,0.148147,0.148194,0.148226,0.148248
"cv2fem",0.0653597,0.0653321,0.0652438,0.0650958,0.0649339,0.0647845,0.0646579,0.064555,0.0644747,0.0644129,0.0643658,0.0643303,0.0643037,0.064284,0.0642695,0.0642592
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
